,symbol,open,high,low,close,volume
2020-10-12,BINANCE:USDTBRL,5.53,5.59,5.314,5.567,67.673
2020-10-13,BINANCE:USDTBRL,5.579,5.641,5.53,5.61,86.6646
2020-10-14,BINANCE:USDTBRL,5.621,5.685,5.61,5.68,86.1504
2020-10-15,BINANCE:USDTBRL,5.68,5.729,5.667,5.712,102.6408
2020-10-16,BINANCE:USDTBRL,5.712,5.715,5.703,5.71,18.9457
2020-10-17,BINANCE:USDTBRL,5.703,5.711,5.67,5.707,42.0681
2020-10-18,BINANCE:USDTBRL,5.707,5.712,5.635,5.681,180.8407
2020-10-19,BINANCE:USDTBRL,5.681,5.7,5.613,5.677,116.4252
2020-10-20,BINANCE:USDTBRL,5.677,5.695,5.627,5.66,363.2513
2020-10-21,BINANCE:USDTBRL,5.669,5.673,5.618,5.63,153.3828
2020-10-22,BINANCE:USDTBRL,5.641,5.695,5.615,5.675,141.1885
2020-10-23,BINANCE:USDTBRL,5.674,5.688,5.671,5.674,47.0619
2020-10-24,BINANCE:USDTBRL,5.672,5.682,5.669,5.676,55.0851
2020-10-25,BINANCE:USDTBRL,5.676,5.728,5.665,5.695,183.8721
2020-10-26,BINANCE:USDTBRL,5.695,5.775,5.668,5.773,154.759
2020-10-27,BINANCE:USDTBRL,5.765,5.849,5.759,5.82,227.3537
2020-10-28,BINANCE:USDTBRL,5.82,5.86,5.806,5.851,183.2923
2020-10-29,BINANCE:USDTBRL,5.853,5.87,5.8,5.822,133.3695
2020-10-30,BINANCE:USDTBRL,5.823,5.823,5.801,5.814,63.0619
2020-10-31,BINANCE:USDTBRL,5.818,5.82,5.807,5.808,25.237
2020-11-01,BINANCE:USDTBRL,5.807,5.826,5.807,5.811,63.8415
2020-11-02,BINANCE:USDTBRL,5.811,5.834,5.725,5.816,233.6885
2020-11-03,BINANCE:USDTBRL,5.813,5.824,5.72,5.745,247.1668
2020-11-04,BINANCE:USDTBRL,5.744,5.744,5.614,5.618,505.0047
2020-11-05,BINANCE:USDTBRL,5.626,5.657,5.447,5.466,481.0855
2020-11-06,BINANCE:USDTBRL,5.466,5.474,5.436,5.46,247.6062
2020-11-07,BINANCE:USDTBRL,5.456,5.468,5.445,5.446,126.0414
2020-11-08,BINANCE:USDTBRL,5.45,5.508,5.301,5.469,848.7285
2020-11-09,BINANCE:USDTBRL,5.462,5.884,5.456,5.559,841.8014
2020-11-10,BINANCE:USDTBRL,5.56,5.665,5.501,5.502,656.0766
2020-11-11,BINANCE:USDTBRL,5.502,5.551,5.468,5.479,316.2656
2020-11-12,BINANCE:USDTBRL,5.479,5.56,5.45,5.509,432.0389
2020-11-13,BINANCE:USDTBRL,5.509,5.559,5.509,5.539,126.3305
2020-11-14,BINANCE:USDTBRL,5.539,5.548,5.52,5.541,44.7944
2020-11-15,BINANCE:USDTBRL,5.53,5.535,5.441,5.445,370.0681
2020-11-16,BINANCE:USDTBRL,5.445,5.469,5.364,5.372,322.0219
2020-11-17,BINANCE:USDTBRL,5.383,5.42,5.341,5.407,505.2034
2020-11-18,BINANCE:USDTBRL,5.407,5.42,5.345,5.365,370.3203
2020-11-19,BINANCE:USDTBRL,5.367,5.416,5.266,5.4,576.0276
2020-11-20,BINANCE:USDTBRL,5.4,5.42,5.377,5.4,125.903
2020-11-21,BINANCE:USDTBRL,5.4,5.454,5.388,5.435,179.5774
2020-11-22,BINANCE:USDTBRL,5.431,5.502,5.395,5.466,512.2842
2020-11-23,BINANCE:USDTBRL,5.474,5.494,5.415,5.462,728.5963
2020-11-24,BINANCE:USDTBRL,5.462,5.473,5.38,5.381,452.2339
2020-11-25,BINANCE:USDTBRL,5.381,5.484,5.376,5.436,707.6784
2020-11-26,BINANCE:USDTBRL,5.477,5.481,5.399,5.423,375.325
2020-11-27,BINANCE:USDTBRL,5.423,5.424,5.392,5.419,101.1011
2020-11-28,BINANCE:USDTBRL,5.421,5.421,5.39,5.4,104.3153
2020-11-29,BINANCE:USDTBRL,5.409,5.417,5.317,5.362,466.9273
2020-11-30,BINANCE:USDTBRL,5.355,5.36,5.256,5.291,514.9517
2020-12-01,BINANCE:USDTBRL,5.291,5.32,5.239,5.246,441.67
2020-12-02,BINANCE:USDTBRL,5.246,5.267,5.168,5.175,435.1247
2020-12-03,BINANCE:USDTBRL,5.175,5.23,5.166,5.201,443.0887
2020-12-04,BINANCE:USDTBRL,5.204,5.216,5.184,5.196,74.7621
2020-12-05,BINANCE:USDTBRL,5.195,5.201,5.17,5.172,133.285
2020-12-06,BINANCE:USDTBRL,5.172,5.191,5.085,5.143,414.2664
2020-12-07,BINANCE:USDTBRL,5.143,5.19,5.08,5.169,474.0161
2020-12-08,BINANCE:USDTBRL,5.185,5.24,5.144,5.22,424.8927
